Difficulty_Tier,Company,Role,Location,Date_Posted,Apply_Link,Alumni_Search,Recruiter_Search
1,Intuitive Surgical,Machine Learning Intern,"Sunnyvale, CA",2026-02-20,https://jobs.smartrecruiters.com/Intuitive/744000110204725?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Intuitive%20Surgical%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Intuitive%20Surgical%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,CCC Intelligent Solutions,Data Science & Mlops Internship Summer 2026,"Chicago, IL",2026-02-14,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Data-Science---MLOps-Internship-Summer-2026_0014461?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22CCC%20Intelligent%20Solutions%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22CCC%20Intelligent%20Solutions%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,🔥 Oracle,Data Analyst Intern,"Nashville, TN",2026-02-13,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_45001/job/326677?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Oracle%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Oracle%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,🔥 Oracle,Data Analyst Intern,"Nashville, TN",2026-02-13,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_45001/job/326682?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Oracle%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Oracle%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Howmet Aerospace,Intern – Manufacturing Data Analyst - Whitehall - MI,"Muskegon, MI",,https://fa-exty-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115794?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Howmet%20Aerospace%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Howmet%20Aerospace%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,🔥 Dropbox,Data Science Engineer Intern - Summer 2026,Remote in USA,,https://boards.greenhouse.io/embed/job_app?token=7527941&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Dropbox%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Dropbox%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,🔥 Intel,Software Engineering Intern - Bachelor’s,"5 locationsHillsboro, OR | Folsom, CA | Phoenix, AZ | Austin, TX | Santa Clara, CA",2026-02-19,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Software-Engineering----Intern--Bachelor-s_JR0281131?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Intel%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Intel%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,🔥 Intel,Silicon Hardware Engineering – Intern - Bachelor’s,"6 locationsHillsboro, OR | Folsom, CA | Phoenix, AZ | Austin, TX | Colorado | Santa Clara, CA",2026-02-19,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Silicon-Hardware-Engineering----Intern--Bachelor-s_JR0281132?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Intel%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Intel%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
2,Rivian,Software Engineering Intern - Digital Manufacturing Automation,Illinois,2026-02-19,https://careers.rivian.com/jobs/29111?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Rivian%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Rivian%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
2,Okta,Data Analyst Intern,SF,2026-02-19,https://www.okta.com/company/careers/opportunity/7561055?gh_jid=7561055&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Okta%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Okta%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
2,Rivian,UIUC Research Park Intern - Embedded Systems Software - Summer 2026,"Urbana, IL",2026-02-27,https://careers.rivian.com/jobs/27833?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Rivian%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Rivian%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Affirm,Software Engineering Intern - Summer 2026,"San Francisco, California, United States",,https://job-boards.greenhouse.io/affirm/jobs/7528020003,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Affirm%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Affirm%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Brex,"Software Engineer, Intern",United States,,https://www.brex.com/careers/8434389002?gh_jid=8434389002,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Brex%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Brex%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Brex,"Software Engineer, Internship - 2026","São Paulo, São Paulo, Brazil",,https://www.brex.com/careers/8434385002?gh_jid=8434385002,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Brex%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Brex%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Robinhood,"Software Engineering Intern, Android (Summer 2026)","Menlo Park, CA",,https://boards.greenhouse.io/robinhood/jobs/7239199?t=gh_src=&gh_jid=7239199,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Robinhood%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Robinhood%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Robinhood,"Software Engineering Intern, iOS (Summer 2026)","Menlo Park, CA",,https://boards.greenhouse.io/robinhood/jobs/7239268?t=gh_src=&gh_jid=7239268,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Robinhood%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Robinhood%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Verkada,Backend Software Engineering Intern 2026,"San Mateo, CA United States",,https://job-boards.greenhouse.io/verkada/jobs/5026094007,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Verkada,Frontend Software Engineering Intern 2026,"San Mateo, CA United States",,https://job-boards.greenhouse.io/verkada/jobs/5024322007,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Verkada,Hardware Engineer (Summer Co-op),"San Mateo, CA United States",,https://job-boards.greenhouse.io/verkada/jobs/4135120007,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Verkada,MBA Intern - Hardware Operations,"San Mateo, CA United States",,https://job-boards.greenhouse.io/verkada/jobs/5021999007,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Verkada%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Roblox,[Summer 2026] People Data Scientist Intern,"San Mateo, CA, United States",,https://careers.roblox.com/jobs/7609135?gh_jid=7609135,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Roblox%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Roblox%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Typeface,ML Engineer Intern,"Palo Alto, CA",,https://job-boards.greenhouse.io/typeface/jobs/4986825007,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Typeface%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Typeface%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,LPL Financial Holdings,Intern - Technology - Software Developer,"Fort Mill, SC | San Diego, CA | Austin, TX",2026-03-04,https://lplfinancial.wd1.myworkdayjobs.com/university/job/San-Diego-CA/Internship-Summer-2026---Technology--Software-Development_R-046201?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22LPL%20Financial%20Holdings%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22LPL%20Financial%20Holdings%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Monarch Money,Software Engineering Intern,Remote in USA,2026-03-04,https://jobs.ashbyhq.com/monarchmoney/b62fbd01-4082-4ddf-9a39-ec0ae1e526ee/application?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Monarch%20Money%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Monarch%20Money%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Empower,Intern Software Engineer,"Boston, MA",2026-03-04,https://empower.wd12.myworkdayjobs.com/empower/job/MA-Boston---Federal-St/Summer-2026-Intern--Software-Engineer_R0056997?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Empower%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Empower%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,New York Post Holdings,Software Engineer Intern,NYC,2026-03-04,https://dowjones.wd1.myworkdayjobs.com/New_York_Post_Careers/job/NYC---1211-Ave-of-the-Americas/Software-Engineering-Intern_Job_Req_51878?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22New%20York%20Post%20Holdings%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22New%20York%20Post%20Holdings%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,SolarWinds,Software Engineer Intern,"Austin, TX",2026-03-04,https://jobs.solarwinds.com/job-detail/?gh_jid=4644519005&gh_jid=4644519005&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22SolarWinds%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22SolarWinds%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Toshiba Global Commerce,Agentic Software Engineering Intern,"Durham, NC",2026-03-04,https://job-boards.greenhouse.io/toshibaglobalcommercesolutions/jobs/5065014007?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Toshiba%20Global%20Commerce%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Toshiba%20Global%20Commerce%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,The Boeing Company,Millennium Space Systems Intern Program - Ground Software Engineering,"Chantilly, VA | El Segundo, CA",2026-03-03,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Ground-Software-Engineering_JR2026498959-1?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22The%20Boeing%20Company%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22The%20Boeing%20Company%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,The Boeing Company,Millennium Space Systems Intern Program - Ground Software Engineering,"Chantilly, VA | El Segundo, CA",2026-03-03,https://boeing.wd1.myworkdayjobs.com/INTERN/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Ground-Software-Engineering_JR2026498959?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22The%20Boeing%20Company%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22The%20Boeing%20Company%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Fidelity Investments,Intern/Co-op Software Full Stack Engineer,"Merrimack, NH | Boston, MA | Smithfield, RI",2026-03-03,https://fmr.wd1.myworkdayjobs.com/targeted/job/Boston-MA/Co-op--Software-Full-Stack-Engineer_2125315?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Fidelity%20Investments%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Fidelity%20Investments%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,ZoomInfo,Software Engineer Intern - Platform,"Bethesda, MD",2026-03-03,https://www.zoominfo.com/careers?gh_jid=8422488002&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22ZoomInfo%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22ZoomInfo%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Premier,Software Engineer Intern,"Charlotte, NC",2026-03-03,https://premierinc.wd1.myworkdayjobs.com/external_professional/job/Charlotte-NC/Software-Engineer-Intern_R0008139?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Premier%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Premier%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Starburst,Software Engineering Intern,"Boston, MA",2026-03-03,https://job-boards.greenhouse.io/starburst/jobs/5123053008?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Starburst%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Starburst%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Robert Half,Software Engineer Intern,"San Ramon, CA",2026-03-03,https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/SAN-RAMON/Software-Engineer-Virtual-Internship_JR-259698?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Robert%20Half%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Robert%20Half%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Leidos,Software Engineer Intern,"Morgantown, WV | Reston, VA",2026-03-03,https://leidos.wd5.myworkdayjobs.com/External/job/Reston-VA/Software-Engineer-Intern_R-00176962?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Leidos%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Leidos%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,LAIKA Studios,Software Developer Intern,"Hillsboro, OR",2026-03-03,https://www.laika.com/careers/job-listing?jobid=7624789&gh_jid=7624789&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22LAIKA%20Studios%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22LAIKA%20Studios%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Wing,Backend Software Engineering Intern,"Palo Alto, CA",2026-03-03,https://wing.com/careers/8444972002?gh_jid=8444972002&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Wing%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Wing%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Samsung,Software Development Internship - Agentic AI tools,"Plano, TX",2026-03-03,https://sec.wd3.myworkdayjobs.com/Samsung_Careers/job/6555-Excellence-Way-Plano-TX-USA/Software-Development-Internship--Agentic-AI-tools-_R114687?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Samsung%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Samsung%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Schweitzer Engineering Laboratories,Software Engineer Intern,"Moscow, ID",2026-03-03,https://selinc.wd1.myworkdayjobs.com/SEL/job/Washington---Pullman/Software-Engineer-Intern_2026-19777-1?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Schweitzer%20Engineering%20Laboratories%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Schweitzer%20Engineering%20Laboratories%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Nokia,Software Dev Intern,"Naperville, IL",2026-03-03,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/29343?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Nokia%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Nokia%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,General Dynamics Mission Systems,Software Engineer Intern - Strategic Systems,"Dedham, MA",2026-03-03,https://careers-gdms.icims.com/jobs/71212/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22General%20Dynamics%20Mission%20Systems%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22General%20Dynamics%20Mission%20Systems%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Elsevier,Simulation Software Engineer Intern,5 locationsNYC | Florida | Massachusetts | Pennsylvania | North Carolina,2026-03-02,https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/Pennsylvania/Simulation-Software-Engineer-Intern_R110008?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Elsevier%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Elsevier%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Serval,Software Engineer Intern,SF,2026-03-02,https://jobs.ashbyhq.com/Serval/d7fb089c-db8a-4877-a5f3-73a09e67f54b/application?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Serval%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Serval%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,RTX,Intern – Software Engineer Intern,"Marlborough, MA",2026-02-28,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-MA-MARLBOROUGH-MA2--1001-Boston-Post-Rd--BLDG-2/XMLNAME-2026-Intern---Software-Engineer-Intern---Onsite--MA-_01827452?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22RTX%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22RTX%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,RF-SMART,Software Developer Intern,"Highlands Ranch, CO",2026-02-28,https://job-boards.greenhouse.io/rfsmart/jobs/5099760008?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22RF-SMART%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22RF-SMART%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Transcarent,Software Engineering Intern,"Seattle, WA",2026-02-28,https://boards.greenhouse.io/transcarent/jobs/5808306004?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Transcarent%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Transcarent%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
3,Cadence Design Systems,Software Intern,"San Jose, CA",2026-02-27,https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/Software-Intern_R53282-1?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cadence%20Design%20Systems%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cadence%20Design%20Systems%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
